tickers,MGM,GM,FBHS,TRIP,PVH,FL,IP,WHR,F,MAT,TJX,MCD,VFC,GPC,HRB,LEN,HAS,PHM,BLL,NKE,JWN,GPS,LEG,LOW,HD,HOG,TIF,AZO,M,MHK,KSS,DHI,SBUX,ORLY,BWA,TSCO,DRI,AMZN,RL,YUM,MAR,BBY,SEE,EBAY,PKG,AAP,KMX,WYNN,LKQ,EXPE,UA,CMG,HBI,ROST,ULTA
BLL,-0.2710718329875583,0.2453765673509763,0.8083927604462242,0.26038394346537236,0.8261143954908815,0.7474710647663563,0.6419453421584922,0.8073780498584482,-0.1302872714281461,0.8531546711668305,-0.41853714032928585,-0.5561010384052196,0.7250492683315484,0.05593587298199185,0.6099432046166267,0.0,0.6861626807980638,0.7513871715964253,1.0,-0.2967464971476036,0.5856762044438002,0.7476968681991971,0.6702891218787419,0.7541917117000843,0.8482732958039789,0.3279583092732567,-0.03520722315914574,0.367556329256002,0.62375988841196,0.748754150351583,0.16211757578068775,0.6570449008614916,0.30361621233470765,0.20550152709166666,-0.2028303026147681,0.5098876009383484,0.32271123141923064,0.6638140372233786,0.16803508192644517,0.5502571327592197,0.37053973530428436,-0.6991028720513193,-0.255884023084567,0.7973666576418825,0.7878050197822588,0.0026015944167101165,0.4719960142980779,0.07836738296213187,0.0,0.6812775013740888,-0.4356468567466109,-0.44527341249086855,0.8688194174364965,0.2356042380479832,0.7821904777483499
NKE,0.5515887756062025,0.05798253706423244,-0.46077879795350496,-0.12771354090327525,-0.3055521955930499,-0.3202458395126549,-0.2742789625127857,-0.3723526872891767,0.30071080134141903,-0.3731466103368701,-0.14881388296623344,0.5015492748326029,-0.18545044673325417,0.22323659234592821,-0.4258984398299259,0.0,-0.06346817073098468,-0.5674475320884931,-0.2967464971476036,0.9999999999999999,-0.0616183536648358,-0.39632448174274826,-0.43021975573203564,-0.1541197628934211,-0.47789267055477835,0.3899282752138671,0.4871229260984006,0.31962084836898874,0.17824126455783518,-0.5575067700733985,0.11923379571810858,-0.5314700543599772,0.35124482795739376,0.3723180340955954,0.6083283823226968,0.11163766864450284,0.05332230498226687,-0.4943851360739759,0.5212788364748168,0.23707576389394874,0.11529454453769321,0.5583616238555993,0.46516070513395835,-0.4957088206000126,-0.5125667941470153,0.5911892768906746,-0.07264027018211139,0.4374712256569714,0.0,-0.5839661171955179,0.6677821265920432,0.6144933039518508,-0.4612233393058761,-0.12503533370031217,-0.17701973851596425
JWN,-0.11009157497200148,0.16483917503989165,0.5134373435345392,-0.3209082705266908,0.5365475691498934,0.6924933298013425,0.6695355684643215,0.5533442871575666,-0.16863539560910237,0.699324980829533,-0.2702197094821511,-0.14748138578535597,0.8142942305787806,0.188703509998476,0.33502542285705594,0.0,0.759495641846064,0.5322630136290214,0.5856762044438002,-0.0616183536648358,1.0,0.7152510527487004,0.5448970274646114,0.40313599555108826,0.547879786505601,-0.004494645762758275,0.4428982653569685,0.2816481437632168,0.7895893637999393,0.4252993764008767,0.7663986883510093,0.5473392569257134,-0.01859652794131554,-0.10709256750457792,0.13555975152390415,0.646028281086169,0.6090074106735456,0.42381390928615914,0.5139569970124325,0.4931791589440705,0.3712108344399142,-0.23228607164621223,-0.15884789071472263,0.5125473606583425,0.5674255395427297,0.1948379673540638,0.37143939506082946,0.3039304211692914,0.0,0.35344844459969665,-0.3913873638623888,-0.3816061055258799,0.608079177344222,0.34078978747413086,0.46373756429064567
GPS,-0.6343557136022897,-0.08349543507363977,0.8625733760900118,0.11642843808579348,0.6424223680548136,0.9447194783569612,0.56010785206332,0.6854164815986181,-0.5802371731331945,0.878732242658435,-0.30597653543591774,-0.7106631323427306,0.8322984689861391,-0.12584400981929827,0.3853250078862417,0.0,0.7499451558590596,0.8565541888329139,0.7476968681991971,-0.39632448174274826,0.7152510527487004,1.0,0.6020091517804664,0.4508153999278911,0.8863557161898474,-0.11295151113784865,-0.1455317109642754,0.3046737765049001,0.5751754588277462,0.7828076664835116,0.44887631136984335,0.9110504577550136,-0.11195874320954362,-0.04499632462963372,-0.42869246312308446,0.663412060981208,0.688153882289489,0.8685177190871614,-0.04345195596445772,0.41436837962092904,0.46342773694334066,-0.7352049920729603,-0.6560351340994865,0.9195646501246681,0.7801667103066707,-0.3550081863269688,0.16449525686801253,-0.19141191990335216,0.0,0.8599317715540682,-0.6255759017616829,-0.6635992600662475,0.8701782651690775,0.5824624846497016,0.72664587493083
LEG,-0.2672229615005118,0.534907623212704,0.7793098830137957,-0.27265551607037974,0.8955184967520207,0.5592479180986965,0.8397018380773157,0.8933802278650005,0.11030217675718322,0.7392512980799565,0.027250703336267987,-0.32816940184634225,0.7016832234608963,0.1252121261382973,0.8661579286309433,0.0,0.6246691632005978,0.8436783051632807,0.6702891218787419,-0.43021975573203564,0.5448970274646114,0.6020091517804664,1.0,0.7507199372530968,0.799057213007498,-0.09415821597463081,0.16786189273999186,-0.1287242949751708,0.512664139244084,0.807715882816168,0.2475344922895195,0.6168948623954804,-0.20922282375435525,-0.30292394412810775,-0.2673329477608802,0.19544737827421366,0.10867046909583628,0.5254943451715438,0.08943065252815328,0.30074755525850755,-0.12326380396500725,-0.6370488226307072,-0.09453578736399752,0.6824426994457495,0.8988906901626703,-0.13962345676177512,0.7579066765209108,0.17339010230050123,0.0,0.6073717592619065,-0.722641829333641,-0.7872275824918753,0.7929484511979434,-0.21886727471515754,0.35510495355419885
LOW,0.011214536438896597,0.596796525602534,0.7238983506656487,0.036201734368820786,0.8881809759437563,0.419852996516075,0.7216254067002816,0.8137906332418195,0.28936051830347886,0.636706424169357,-0.2709966431795024,-0.2599689199713493,0.6040667141916419,0.09393357768168642,0.6608338121658901,0.0,0.52315104913144,0.6517273929203221,0.7541917117000843,-0.1541197628934211,0.40313599555108826,0.4508153999278911,0.7507199372530968,1.0,0.7242002982854707,0.453983709161593,0.26680594629627363,0.259006126584705,0.6379261352721419,0.6978333460241349,-0.002986371061095453,0.4325456657019777,0.3424031165711438,0.2286565057909993,-0.018090561415953502,0.33421325257719203,0.035509779213461504,0.403316903268963,0.3052112950059399,0.6117193857866016,0.1331418786196158,-0.5577074723485079,0.13727383432445572,0.5711735738089236,0.7374147390170447,0.22347694652500974,0.7744467803394564,0.45225554162114745,0.0,0.4181072258627798,-0.2591201189732947,-0.36105170725749847,0.6652762446961606,-0.26560070383190937,0.5508169516558519
HD,-0.5671450917631282,0.16860810605783672,0.966052208893743,0.15847939097267918,0.8598181553071929,0.8397215742984657,0.6602931980390001,0.8574338757767654,-0.33205472225690436,0.8838633630445163,-0.23239974745467049,-0.7150281743496343,0.792716398079212,-0.12767216497416622,0.6414658574479728,0.0,0.6780234380412489,0.9536320187269571,0.8482732958039789,-0.47789267055477835,0.547879786505601,0.8863557161898474,0.799057213007498,0.7242002982854707,1.0,0.025209070190700497,-0.17676834647926856,0.2189299743051291,0.5338272691664064,0.9229849304144435,0.1857673239570436,0.8756470967967553,-0.022597420718793344,-0.012086760813519745,-0.5026995019262991,0.4702162105205415,0.4040937659376532,0.8483824717709111,-0.09541236826420388,0.41381593183197163,0.26525988015230717,-0.8655533419245325,-0.48968699558328965,0.9505645978160886,0.9127401140166909,-0.3309548284478614,0.4160585162074678,-0.09867881965741289,0.0,0.8894880801327627,-0.6678158065019555,-0.7368176616651797,0.9388556086435211,0.2660555102316792,0.732934309569041
HOG,0.4524802559756994,0.2918157750297903,0.053175226756312526,0.39540109612802665,0.22959312874015397,-0.08113752149982476,0.012796809865093513,0.12833933959256377,0.38984877835821574,0.04738921847140451,-0.5142040429203925,0.04435440980251792,0.03270007398512739,0.1668275212794544,-0.09380999428538266,0.0,0.02938368996654773,-0.11664375583123328,0.3279583092732567,0.3899282752138671,-0.004494645762758275,-0.11295151113784865,-0.09415821597463081,0.453983709161593,0.025209070190700497,1.0,0.262650011856409,0.5758847647528886,0.36861093363081676,-0.005616085361159373,-0.16850587063107875,-0.16965834151526704,0.7531148171317446,0.7511788366090861,0.40752027190083423,0.24562709530508822,-0.07002310341503792,-0.1324318387052366,0.4556064487186905,0.5961407754169565,0.3683194246713306,0.025500319582474763,0.434492321279053,-0.021205938545998185,-0.05852411387430478,0.6274204915896584,0.2603417297388898,0.48933161483571225,0.0,-0.15197410632018266,0.5385451225701283,0.4777619145340625,0.031727605325311575,-0.14883446933737185,0.314007511319216
TIF,0.6765788244633228,0.5902369899819342,-0.14280053522330494,-0.6477070356977601,0.14483197466001946,-0.1444523943440633,0.3955421127633426,0.1285136767998562,0.6207805869425354,-0.004702539649783279,-0.09519789770591927,0.620017572385281,0.2561916061088799,0.34382536625408144,0.10460972724784115,0.0,0.3100400534576754,-0.15540183484632725,-0.03520722315914574,0.4871229260984006,0.4428982653569685,-0.1455317109642754,0.16786189273999186,0.26680594629627363,-0.17676834647926856,0.262650011856409,1.0,0.08430024352632848,0.5373846154265356,-0.17564822680663342,0.48236607450346963,-0.25632466424876843,0.13999042928108751,-0.03625586202181278,0.7548353038255673,0.2238958192429849,0.10404278882535582,-0.3891230585898808,0.8369859480328552,0.3987193356839216,0.017011810728471626,0.46445171078564973,0.6813633747725216,-0.2961638137072695,0.004673365251783609,0.7151212714189568,0.5062713607970145,0.8428201063591348,0.0,-0.4778031845310964,0.27567646463606976,0.22805741291871678,-0.13876033624750767,-0.4135521379537103,-0.1382379962165951
AZO,-0.030269914798979516,-0.11357031679380289,0.18487402841471673,0.3753656281903679,0.15928437563721168,0.3285129517922074,0.006530500434778553,0.12072864947941729,-0.17875562288511743,0.24336671884705688,-0.5664945096631278,-0.2423626672798717,0.3499200042483657,-0.07634010565560659,-0.2275673610388652,0.0,0.18461566045919808,0.033521471276934195,0.367556329256002,0.31962084836898874,0.2816481437632168,0.3046737765049001,-0.1287242949751708,0.259006126584705,0.2189299743051291,0.5758847647528886,0.08430024352632848,0.9999999999999998,0.4774204017777093,0.08413338067166604,0.18021479812817026,0.16555022018332172,0.5392161453805986,0.726882846189677,0.11455407807845354,0.5232142214054402,0.503861262658718,0.12515624748182538,0.3152592833408141,0.6586147350012042,0.5233422221196693,-0.11499258511031075,-0.035554192379962976,0.20656190271224922,0.049416517277366394,0.414568973645691,-0.08189198942296,0.16674049454667972,0.0,0.12343365771468758,0.29838731915042394,0.2771724637216596,0.1955990395295295,0.40150033301234733,0.5024057491417435
M,0.07567280578190116,0.40078661563288787,0.5276435854443557,-0.18732387513393453,0.6549823138495174,0.5593708553871336,0.6485115086672577,0.5977416560839048,0.10601283699391885,0.6201366552552865,-0.40948171047618087,-0.1351182086227505,0.7453176631660943,0.2059738580411022,0.2971944767506236,0.0,0.740956807306081,0.44246864539579855,0.62375988841196,0.17824126455783518,0.7895893637999393,0.5751754588277462,0.512664139244084,0.6379261352721419,0.5338272691664064,0.36861093363081676,0.5373846154265356,0.4774204017777093,1.0,0.4170672650859904,0.5341323795537438,0.36003226604298294,0.2757571012756588,0.25134942379159764,0.28439127727255603,0.7031757478029008,0.4637213564079652,0.31532454866908655,0.6282437363918736,0.7289846834095142,0.38555683369195914,-0.25848038422691944,0.03040121669752007,0.4535186940299143,0.514356434236918,0.41762714226847775,0.575207891613013,0.4914191993427832,0.0,0.2662934473208457,-0.07732573730824771,-0.19891372761027615,0.5604379153658139,0.11446688363675925,0.526235596897159
MHK,-0.5387421243438312,0.2739694568466433,0.9572429221004957,0.16185599677969587,0.8378471207129176,0.7163090413715434,0.6572608790260003,0.8535422340814963,-0.22631594962117352,0.8161343740293572,-0.17216215142783248,-0.6571675154416261,0.6872582250656661,-0.0174299828113371,0.6479289745405004,0.0,0.6036896964777039,0.9562325907918786,0.748754150351583,-0.5575067700733985,0.4252993764008767,0.7828076664835116,0.807715882816168,0.6978333460241349,0.9229849304144435,-0.005616085361159373,-0.17564822680663342,0.08413338067166604,0.4170672650859904,1.0,0.1484628650295575,0.8595312123427958,-0.10931879984096134,-0.0567771943765686,-0.4925080816433606,0.3528133418521328,0.2969224953412098,0.8098449348144747,-0.15369497786574793,0.35238371744976027,0.16880006151879012,-0.8592325125480096,-0.39254752883950056,0.8846520045460115,0.9086980614237021,-0.3538558295843141,0.4662113971699135,-0.12552686728497273,0.0,0.8665943727474438,-0.7111623645422926,-0.7605811213326021,0.8699748343203222,0.10476444223007783,0.5754795681009934
KSS,-0.030573500824937205,0.07032425157531562,0.17954465937061115,-0.48210704656152964,0.1621924105192485,0.39926531761539946,0.3069167428291417,0.21783394212634186,-0.1559434133584185,0.3271169937120906,-0.17623230739249532,0.05637706913855271,0.554338800697322,0.1299710877088574,0.06431297092147858,0.0,0.5422341705505169,0.23357459459190028,0.16211757578068775,0.11923379571810858,0.7663986883510093,0.44887631136984335,0.2475344922895195,-0.002986371061095453,0.1857673239570436,-0.16850587063107875,0.48236607450346963,0.18021479812817026,0.5341323795537438,0.1484628650295575,1.0,0.332973397373607,-0.23607024703171953,-0.2558417834601855,0.2012674438235727,0.5210876835595619,0.672114489318633,0.10639374065802126,0.45415986318080304,0.39612868205665086,0.22652944015369755,0.06970810634593208,-0.03605965900293645,0.15218591184962033,0.2286878208050166,0.18602428470460947,0.07635271987293965,0.2087109389799121,0.0,0.08559533694555302,-0.2264593059911204,-0.215264379836077,0.21052284411342628,0.2546697825535722,0.07965118714943588
DHI,-0.6679108587031717,-0.05930560415761994,0.8941153674693385,0.18008771765726336,0.609905422969931,0.8698654802671981,0.5137475362364279,0.6651379234131813,-0.5578589669837226,0.802840730192595,-0.160358437530418,-0.6944824171724387,0.7251980019022716,-0.18898776838032524,0.45033214728336335,0.0,0.6073614577981336,0.9135097572437442,0.6570449008614916,-0.5314700543599772,0.5473392569257134,0.9110504577550136,0.6168948623954804,0.4325456657019777,0.8756470967967553,-0.16965834151526704,-0.25632466424876843,0.16555022018332172,0.36003226604298294,0.8595312123427958,0.332973397373607,1.0,-0.1564639305023528,-0.1563326042470693,-0.5351928076016698,0.5042641555700191,0.5812334052334066,0.8955649718632921,-0.22384335624015,0.2770987209872091,0.43029750074382034,-0.7629959180829995,-0.6224016525083234,0.9068372887553721,0.7907269799484046,-0.5090353167919408,0.14120071581864166,-0.25502995750907875,0.0,0.8817776101759564,-0.706465545279133,-0.6949665953426154,0.8184728082974004,0.4937272345110008,0.6703804877837423
SBUX,0.3341201374722548,0.0474853300574104,-0.01798433868736808,0.4835500691628327,0.10535149939570883,-0.023503582617853666,-0.09515205006275124,-0.052360361191585506,0.21174391572728754,-0.06684840327542345,-0.35249883370078905,0.06911154187846968,-0.037398374601749454,0.022847337530302003,-0.13535857976125526,0.0,-0.06723640790172998,-0.20108493636025587,0.30361621233470765,0.35124482795739376,-0.01859652794131554,-0.11195874320954362,-0.20922282375435525,0.3424031165711438,-0.022597420718793344,0.7531148171317446,0.13999042928108751,0.5392161453805986,0.2757571012756588,-0.10931879984096134,-0.23607024703171953,-0.1564639305023528,1.0,0.739424491681653,0.36093986560554764,0.2742415559405261,-0.0794068957563869,-0.08710651447479979,0.2945108362426275,0.46265422500786224,0.4395617385167186,0.026278697105979694,0.2551422566384025,-0.06492662798080033,-0.16368685681488765,0.529030228888924,0.08278202398352796,0.3693826345849345,0.0,-0.21182507416778446,0.5073348640986874,0.5949580487806556,-0.06117466333339227,0.05524436118969878,0.4027513672469408
ORLY,0.0796149393382212,-0.1404561974592693,0.0011173687094004296,0.5945487159603918,0.03193349664677124,-0.03726318322428377,-0.23293895178089197,-0.11316803366013933,-0.005251738982010897,-0.057008274412610596,-0.3844931847277625,-0.15240651648675313,-0.06207166926189221,0.15390842511919822,-0.3992735473653271,0.0,-0.10623649138045595,-0.2049068966288154,0.20550152709166666,0.3723180340955954,-0.10709256750457792,-0.04499632462963372,-0.30292394412810775,0.2286565057909993,-0.012086760813519745,0.7511788366090861,-0.03625586202181278,0.726882846189677,0.25134942379159764,-0.0567771943765686,-0.2558417834601855,-0.1563326042470693,0.739424491681653,1.0,0.15755684019019045,0.29244911900237147,-0.0084284229368227,-0.0043116064055945084,0.13736142470807794,0.4989821732376171,0.3415681516613672,-0.10395670982842443,0.06744089502093793,0.008835804482021448,-0.20503345215077035,0.4603869020041965,-0.0722868809571981,0.14438522745372012,0.0,-0.04974849989573095,0.4901605966859519,0.46619719641063945,-0.053763382681230654,0.1664841334995503,0.26504456506749985
BWA,0.8711094289178203,0.44821210650346516,-0.4568217991623305,-0.33323794618944647,-0.20050237663207093,-0.3470418042570255,0.08031368388170462,-0.20626628822872287,0.657936518307696,-0.28740500200036,-0.2111620989010809,0.7570039767650824,-0.10439952691497775,0.39859374419814475,-0.20838568366638882,0.0,0.04710661899787551,-0.50838836999889,-0.2028303026147681,0.6083283823226968,0.13555975152390415,-0.42869246312308446,-0.2673329477608802,-0.018090561415953502,-0.5026995019262991,0.40752027190083423,0.7548353038255673,0.11455407807845354,0.28439127727255603,-0.4925080816433606,0.2012674438235727,-0.5351928076016698,0.36093986560554764,0.15755684019019045,1.0,0.16692412487267191,-0.022550552944726528,-0.5668396814509695,0.7974858352212122,0.22143867288181032,0.19329447439473982,0.6861095847830375,0.7436254363141029,-0.5458575276201034,-0.3510210970248133,0.7652845992182662,0.2144989665940794,0.7329847824061115,0.0,-0.6929987189854094,0.6082307061566787,0.6448817418752832,-0.3953946789559538,-0.3083833926521127,-0.14376581720720455
TSCO,-0.1439559768633379,0.00730483610492896,0.4836383069640356,0.04183924474853082,0.3414671215322651,0.6241718491872659,0.3272168581381059,0.3080033466983238,-0.2935497882869907,0.4973764605544905,-0.40166971468140855,-0.27734276975443006,0.6249452813838221,0.04998345291209478,-0.042717138016731604,0.0,0.6546819066876695,0.38859029572975057,0.5098876009383484,0.11163766864450284,0.646028281086169,0.663412060981208,0.19544737827421366,0.33421325257719203,0.4702162105205415,0.24562709530508822,0.2238958192429849,0.5232142214054402,0.7031757478029008,0.3528133418521328,0.5210876835595619,0.5042641555700191,0.2742415559405261,0.29244911900237147,0.16692412487267191,1.0,0.6889769053305559,0.4966192676474548,0.3218382875646672,0.634024641727846,0.7284943259095544,-0.296394861975131,-0.25592984965703164,0.4953986027858354,0.35070052027381604,0.11076188326001728,0.07944157450344874,0.20569332121004041,0.0,0.3648803208241808,-0.01692894553038119,-0.08725244112003094,0.41905886466824027,0.5161284288336503,0.6295762506847435
