tickers,TROW,PBCT,CINF,CMA,L,FITB,RF,MTB,BEN,AJG,WFC,HBAN,MMC,JPM,MCO,LNC,BK,AFL,NTRS,AXP,CB,BAC,TRV,PNC,AON,PGR,KEY,USB,AIG,MS,RJF,C,UNM,STT,SCHW,ALL,COF,HIG,ZION,AMG,GS,BLK,MET,ADS,PFG,PRU,CME,AIZ,NDAQ,AMP,ICE,MA,WU,DFS,V,CBOE
TROW,1.0,0.17482135087845735,0.6108646315933354,0.3966761908390132,0.6797474056279494,0.7273108403291956,0.5723775775911063,0.7939471870121699,0.8645247177428896,0.6073880538330932,0.6956437474581014,0.4488456692630542,0.6967980943159047,0.7954593066416576,0.8178485296586544,0.7746279970765461,0.9054690748346996,0.701700742332327,0.8731145070853478,0.4698814285049138,0.5692399133101632,0.8640234998046115,0.591899589235727,0.023689967126663658,0.0,0.4174173871670236,0.7199672326826215,0.5753621111871325,0.6472079252138728,0.49481412435812283,0.8535892153992092,0.7952934889334753,0.10360993144517142,0.6736461926739479,0.70553656805545,0.6522674098563523,0.7585706839174982,0.7691001300264616,0.8236517758450669,0.8416747354117751,0.7725071213642151,0.6260052821871624,0.3452665345465257,0.7003382411763865,0.78223738755876,0.4187082259016504,-0.4770965644430246,0.06924661105462693,0.31626409691561086,0.8576695162461035,0.5105832115681452,0.7419315440294546,-0.34389982931101776,0.684184859326411,0.7231201343595023,0.7957315500497111
PBCT,0.17482135087845735,1.0,-0.5665969880182424,0.2381109608079521,-0.35138589359680505,0.10573359810564867,-0.4428663049421755,-0.14295734184495204,0.027321070417868264,-0.20913652691927243,-0.18976126024949366,-0.1587782594802865,-0.2207083682181051,0.4709234336656708,0.010892316360426358,0.45142314812291906,0.20945611869567815,0.18905791483023093,-0.07423601643210892,-0.3400300254017044,-0.3596145434461434,0.07568689199917064,-0.3929918124452818,0.3400013491975499,0.0,0.2503583394127672,0.38072327825747687,-0.3935942717383475,-0.40988466826071196,0.715954507451007,0.15412311969219972,0.39907389267773036,0.8082293855738543,0.17652651782332274,0.39428145882781795,-0.4456159445437941,-0.3095637262846006,0.3868893351877748,0.22057572172246975,-0.1526549775573509,0.4232530561415734,0.6320180995422583,0.7388574786644945,-0.47958460677351233,0.5502032488030257,0.7448035493490683,0.37477812480836403,0.6978277706989608,0.7988189084629247,0.2574004885947137,-0.05071617884350231,-0.3698550352618972,0.4053727553207762,-0.47442514784741574,-0.4169005808049877,-0.18671148346212924
CINF,0.6108646315933354,-0.5665969880182424,1.0,0.13838065121340878,0.8316196639476473,0.574037845702869,0.8217642180392182,0.7521002990702088,0.631069444374633,0.6415486994573878,0.7068957495647354,0.5079914335653299,0.8055989899520353,0.19304572484932228,0.6379567113587961,0.29656335107859505,0.5373072197675652,0.47598879502145847,0.7484374676451044,0.5997114827704046,0.7945346504175803,0.6080672409951808,0.833715476592038,-0.23206998070390913,0.0,0.0031315068721735097,0.34485749301750174,0.7883086058262608,0.8338129434203282,-0.18308153961116494,0.5538087853013052,0.2894463059953972,-0.6082673768121347,0.3222228153190174,0.21992326941061455,0.9291345083782581,0.8510043464070107,0.2841428978410941,0.453979294614079,0.8277780212562815,0.25851181620697605,-0.03518983331154639,-0.25792310020619835,0.9458175935845905,0.18113505087529497,-0.26076671847176275,-0.7694862545210792,-0.5246757441476637,-0.3743164702599186,0.5151984905633009,0.4391670032244923,0.8365831616723456,-0.554249461056744,0.940761522842878,0.9127312437877435,0.8154254842680597
CMA,0.3966761908390132,0.2381109608079521,0.13838065121340878,1.0,0.3453552122770309,0.48224547677358653,0.5614012903273,0.07161711016006364,0.3482371019478256,0.6221818924467222,0.6882169290846749,0.716191054898772,0.2295726309788106,0.45371880422946986,0.09756395609292585,0.43546869000208144,0.3383886603605861,-0.0898321288501617,0.5243431683321842,0.6815612733961748,0.06005409908568901,0.248828493677123,-0.054552703526445,0.7865013547447581,0.0,0.21421221389387735,0.4420575413131208,0.5239618180955528,0.37373984212099154,0.20366679025710954,0.29965673588211666,0.18058565614561367,0.24103160110594576,0.3187146388347502,0.673087437559832,0.12386803793230938,0.40248916070668905,0.24146922409491164,0.6044688348208813,0.18482425661270924,0.2988235355607708,0.16996817088129904,0.3737587762006851,0.2427548549662385,0.4724235732328327,0.4210488408890389,0.0783982133197655,0.1654840958258673,0.19658956336261318,0.11332775996287557,0.5780153221729156,0.24792295555556054,0.366330459454305,0.1865657765076375,0.0799587665058088,0.1744359310141645
L,0.6797474056279494,-0.35138589359680505,0.8316196639476473,0.3453552122770309,1.0,0.7023145519783829,0.82000941575503,0.7958958144158622,0.6423334681287124,0.7314272739576192,0.8137607886659113,0.7384001862988201,0.7690736527806026,0.3624453704384249,0.6179117120963397,0.3375979393446108,0.613267388944606,0.38431173567332066,0.7850295777384376,0.7130453118288941,0.8557541631926762,0.5619500999297395,0.8103978468917516,0.11086724576991602,0.0,0.135553563315868,0.49445156214789054,0.875977527809751,0.8770675707917768,-0.08425431510172138,0.6157252407589324,0.3580181303528409,-0.44363099065528677,0.4863444858273842,0.3404579320338297,0.8562439358032217,0.8971206377272757,0.35986568348886244,0.6476157269200604,0.7776244570883265,0.32184116524470685,-0.007335781082320705,-0.1222790121082676,0.8615691093020226,0.30651263667121054,-0.09518837591696384,-0.6640186459317695,-0.3306299380620023,-0.3020143058764786,0.460837741659329,0.3691920948454285,0.7985758820077576,-0.3082265134977941,0.8678983950226186,0.7963509095871006,0.6977250713067393
FITB,0.7273108403291956,0.10573359810564867,0.574037845702869,0.48224547677358653,0.7023145519783829,1.0,0.7040625008460633,0.7620152190034204,0.7340069176715087,0.6534463510002697,0.7693467065415726,0.7410787469570472,0.7945317833372405,0.6134289059877611,0.7161229147332737,0.6199189552592639,0.7073641085266691,0.5806686153394485,0.7688837109108988,0.49304605835916865,0.7043934608937998,0.6455045089656265,0.6368981640155725,0.3413903113144522,0.0,0.12187726369553448,0.8736484742743591,0.739272127522318,0.7078615875553882,0.3222051869274519,0.7358659880254292,0.5898254815887782,-0.10598405761834911,0.3496441853023816,0.5140123577116463,0.7299137468315077,0.727112191346091,0.5547853689212813,0.7340778061928179,0.8074298997808231,0.6327148637558802,0.3250088549973531,0.31870595315468486,0.6784537203598315,0.6037348502932229,0.3219566750828152,-0.6916100509625707,0.013788208468769518,0.13132558587834695,0.6753427872966935,0.3291367748069862,0.624008032239002,-0.042395314585237175,0.6955091402723357,0.6529396244053844,0.6744496015872068
RF,0.5723775775911063,-0.4428663049421755,0.8217642180392182,0.5614012903273,0.82000941575503,0.7040625008460633,1.0,0.5936804487096377,0.6069620426858373,0.7794039397505923,0.9196620303350294,0.8282891067129585,0.713131854399335,0.30843732107560196,0.4931565550244277,0.32540181264596846,0.4925099641911462,0.22016996205095582,0.78656074859688,0.8572910451252731,0.6702574418562839,0.5286757742428757,0.6238408357759642,0.26890492593556903,0.0,0.0586578040873071,0.45171163186191604,0.927452286098605,0.8878758304212415,-0.15286236076361528,0.49844181582611974,0.21894479420320434,-0.46402077790321844,0.3061145187086787,0.404231350705186,0.8065491646931733,0.8616774342001399,0.23023823439293392,0.6040977982529159,0.6904693226207532,0.2671996898978873,-0.07553932237396714,-0.12334270559375564,0.8642505881963263,0.26190028656473674,-0.092548775111239,-0.6024301515347129,-0.38485868431674347,-0.3260512997006133,0.3384814364783192,0.5594213162757442,0.7743994343388607,-0.1773650239426296,0.8338587250709192,0.740366430606501,0.680822504928224
MTB,0.7939471870121699,-0.14295734184495204,0.7521002990702088,0.07161711016006364,0.7958958144158622,0.7620152190034204,0.5936804487096377,0.9999999999999998,0.8236792688004727,0.5602918354509516,0.6221909340772923,0.46089074971138916,0.8514372227627722,0.5786161039576314,0.909941446287451,0.5543334133505757,0.8161928983429456,0.7411040911145219,0.7861160728411689,0.39145425032414943,0.8632387312963699,0.7962952355640538,0.8922516699740956,-0.17013565545208487,0.0,0.3144870166529039,0.6450385343183844,0.6597420588654272,0.7317284911252109,0.25373382840712366,0.8263659799409995,0.7064814521561851,-0.24535093482374484,0.5207318817890416,0.36799575838033616,0.8753341951569424,0.8245410938926004,0.664636109489399,0.7043886028919844,0.9351429716991754,0.6430489769244423,0.3590034455167413,0.05784356552978223,0.8238007985066397,0.4850769738889279,0.09212111380000342,-0.7783898570940478,-0.1669725077263044,-0.002239641196992676,0.7811640824852971,0.15680420597303518,0.8109852972385785,-0.5223431321678753,0.8584376123309757,0.8827471579559856,0.7870039117247236
BEN,0.8645247177428896,0.027321070417868264,0.631069444374633,0.3482371019478256,0.6423334681287124,0.7340069176715087,0.6069620426858373,0.8236792688004727,1.0,0.7345906449742368,0.6453045705850162,0.44758991665324876,0.799344740281092,0.8028369921141583,0.879117179182809,0.8179909296087273,0.8857617483314035,0.7021499041092166,0.8482275699499453,0.4974036561859837,0.6092205721062365,0.8617080921370855,0.6175905407023518,0.023005760034289384,0.0,0.5542217625475983,0.6513596746277085,0.5648495237531332,0.6904823177933266,0.4964504718358347,0.8974670979646031,0.8278898188808459,0.11369268439291097,0.5738574711504902,0.6613021591622724,0.7086698413928825,0.7480531947145757,0.8317418553813009,0.7941944420070802,0.8721393677369103,0.8428353176720178,0.6088267289337792,0.37887121646703786,0.7356209031631337,0.7061352929732512,0.4418518047546353,-0.5090612304161866,0.12145609479924593,0.2899999540837565,0.8274915479255338,0.49059692531188137,0.8284481980346585,-0.3897400549820117,0.7408208604708729,0.7701073780454281,0.7555757218148591
AJG,0.6073880538330932,-0.20913652691927243,0.6415486994573878,0.6221818924467222,0.7314272739576192,0.6534463510002697,0.7794039397505923,0.5602918354509516,0.7345906449742368,0.9999999999999998,0.7691266559675782,0.725534529697408,0.7326144864895408,0.4942630811604469,0.5323924096763177,0.4768863827192906,0.5637640407265438,0.285846276212982,0.7665315080851179,0.7819260367166558,0.5882916711862725,0.5091465386869458,0.5090862099252161,0.36147973127186617,0.0,0.27061022326917794,0.4544637326040242,0.7552094779443332,0.7394126515407768,0.07595660234668263,0.5900090146235535,0.3667569405162153,-0.11137628820779345,0.4396019256282808,0.5013478568127974,0.6278910330084029,0.7441144218266775,0.41549146976583184,0.6237025811943815,0.6466998783176503,0.4228963556485504,0.13703738280434002,0.11766183179671373,0.6984486019941021,0.4233751690849627,0.1702630804074109,-0.40198113649738954,-0.0972493236684404,-0.07573262473798209,0.4027779108649724,0.5527387903173558,0.7262565164113379,-0.14062611269098155,0.6998962266368834,0.6136697155270534,0.5476420590842878
WFC,0.6956437474581014,-0.18976126024949366,0.7068957495647354,0.6882169290846749,0.8137607886659113,0.7693467065415726,0.9196620303350294,0.6221909340772923,0.6453045705850162,0.7691266559675782,1.0,0.8535090669581236,0.675264999933612,0.48485844894733826,0.5414685107016527,0.4332780641482832,0.6173976363375284,0.24219150691089258,0.8562742561836704,0.8517924767061458,0.6212217393861952,0.5889379762585514,0.5560980689087155,0.3768048211530305,0.0,0.14602256491939797,0.5962489625507253,0.9302937480308177,0.8460983502941297,-0.005364662272613492,0.559768828346844,0.33708333972224636,-0.2792130285026621,0.44113150297513654,0.5809891032630276,0.7321684668892706,0.8856722963017932,0.32832638371617573,0.7526362480416152,0.694346464816851,0.3761517288332208,0.09185818436435622,0.01939651680465105,0.7968721758433333,0.44667760494444464,0.08499512554526101,-0.537156341653201,-0.2688864992417207,-0.16007151974678138,0.4187646195029207,0.5751264190161168,0.7324535641275915,-0.09575727673669679,0.7722887861155178,0.6827955716126404,0.6783751373461725
HBAN,0.4488456692630542,-0.1587782594802865,0.5079914335653299,0.716191054898772,0.7384001862988201,0.7410787469570472,0.8282891067129585,0.46089074971138916,0.44758991665324876,0.725534529697408,0.8535090669581236,0.9999999999999999,0.5450850220228983,0.30626255651197953,0.32278650786307234,0.2598986274837747,0.37336715136663845,0.0327544294553828,0.6286042355593325,0.7904533098677116,0.5947106676050975,0.33736701278968084,0.459498621683614,0.6319891083493517,0.0,0.08946572567630645,0.5132005516709492,0.8502986645685813,0.7240346150855432,-0.08676835130437045,0.40638477324683886,0.15174209085286747,-0.2910980442264149,0.28437627625901196,0.38259420362355817,0.591172648997277,0.6919176518757759,0.17423251717346658,0.6585835735597825,0.4931090696666534,0.20516123514973278,-0.11544042233307945,-0.0058941160038106805,0.6166014644106781,0.27620452968344206,0.03840326153143822,-0.3948025220364324,-0.19408795509287952,-0.26203130090360316,0.1633606988725383,0.37754032414005556,0.5383181676178975,0.1571148768469125,0.597271389459682,0.4582309107034311,0.4098087187346424
MMC,0.6967980943159047,-0.2207083682181051,0.8055989899520353,0.2295726309788106,0.7690736527806026,0.7945317833372405,0.713131854399335,0.8514372227627722,0.799344740281092,0.7326144864895408,0.675264999933612,0.5450850220228983,1.0,0.4979297713970681,0.8173221195660323,0.5428911827247078,0.7320766218194368,0.6830698610311385,0.8161781915533068,0.5260127684067547,0.8205479709134089,0.7091359346411498,0.8278057581472755,-0.03188406484913905,0.0,0.14443467282994618,0.6111624573658916,0.7083688991613855,0.7701666851772317,0.14821080694121033,0.7734959632282561,0.5639903512892014,-0.2847989050147982,0.44720007501880754,0.38351630136061554,0.8805363482585095,0.8061894452082776,0.5357447403837967,0.5953791734603247,0.9156192391701874,0.5570963873383566,0.25318864441618133,0.062236289207597696,0.8190049758075202,0.426321265212093,0.05188091609902658,-0.7980573814361591,-0.2585678938025857,-0.061361920198140865,0.7143003766970986,0.24794763686908744,0.7967299173009803,-0.45665282325878387,0.8701687306007477,0.8551985723928517,0.7542695512481725
JPM,0.7954593066416576,0.4709234336656708,0.19304572484932228,0.45371880422946986,0.3624453704384249,0.6134289059877611,0.30843732107560196,0.5786161039576314,0.8028369921141583,0.4942630811604469,0.48485844894733826,0.30626255651197953,0.4979297713970681,1.0,0.7343157312015434,0.8794397843457609,0.8689887670873128,0.5945618953808953,0.6867978575312026,0.3436503187256137,0.28805101336963024,0.7913815724238685,0.29710141667569834,0.23550467278439208,0.0,0.6356570560912658,0.6655611022627339,0.2681903715722705,0.40782881803854143,0.760921864583842,0.8045805292088046,0.905440986681499,0.544833014290063,0.6769273675458534,0.8153110629284503,0.32999922059467757,0.48277654677453663,0.8860109197019439,0.8090725224659652,0.5950913788401001,0.9082813595249508,0.8333681293950342,0.6205326963699955,0.360543637124382,0.8613240831809299,0.7123093184280092,-0.17346263841663567,0.41262848573286426,0.616785632657397,0.7713470055729623,0.3434229697585707,0.5323271694735134,-0.12650332029526007,0.3484583236015629,0.41341772175226466,0.4707394109301939
MCO,0.8178485296586544,0.010892316360426358,0.6379567113587961,0.09756395609292585,0.6179117120963397,0.7161229147332737,0.4931565550244277,0.909941446287451,0.879117179182809,0.5323924096763177,0.5414685107016527,0.32278650786307234,0.8173221195660323,0.7343157312015434,0.9999999999999999,0.7142112391982077,0.8845573493342777,0.8211786203476585,0.7949771703777351,0.33470001365171476,0.699852874059091,0.9120572545922283,0.7748938698091713,-0.183914651185908,0.0,0.4147191281578001,0.6287122274898661,0.4799677630771085,0.6278023022903567,0.4574895392249344,0.8827370280706659,0.8421720102863854,0.0027872409884009824,0.5935351092119586,0.5226491573499105,0.76356438137881,0.7165181101558099,0.7964135666904227,0.7122960498944786,0.918722418179453,0.7925848250226042,0.6026860845930839,0.19563344058268828,0.7305255484990073,0.6131201961495547,0.2533352884152818,-0.6550890881168455,-0.04105181586789717,0.23244429713286002,0.8925983143391603,0.19019292210615651,0.8050625006315826,-0.557531873254247,0.7427175561819955,0.8394529429675431,0.7589178418584501
LNC,0.7746279970765461,0.45142314812291906,0.29656335107859505,0.43546869000208144,0.3375979393446108,0.6199189552592639,0.32540181264596846,0.5543334133505757,0.8179909296087273,0.4768863827192906,0.4332780641482832,0.2598986274837747,0.5428911827247078,0.8794397843457609,0.7142112391982077,0.9999999999999999,0.8353963742590741,0.6956615533672309,0.6649672875587975,0.259519993744946,0.28989739828558203,0.7935808790048007,0.316645935942179,0.1783551138709587,0.0,0.5785391536591616,0.6876991849320254,0.23189779052295817,0.3851013255258962,0.7908924536860686,0.8385390414349361,0.8908884952867634,0.5086546788705746,0.5617661974462891,0.8000942952525176,0.3861543198066545,0.4358184787460901,0.9123057112387029,0.748955133191941,0.6429193577459171,0.9225692321181347,0.8234570426629749,0.7292252394874186,0.4016445965328346,0.8637418486797577,0.7529656193101917,-0.2095669979706154,0.43742186840023906,0.663734524180077,0.8316603269595197,0.46259680777987244,0.504365734877603,-0.13789523457974223,0.3682317964882414,0.43214251007261495,0.5382756515615654
BK,0.9054690748346996,0.20945611869567815,0.5373072197675652,0.3383886603605861,0.613267388944606,0.7073641085266691,0.4925099641911462,0.8161928983429456,0.8857617483314035,0.5637640407265438,0.6173976363375284,0.37336715136663845,0.7320766218194368,0.8689887670873128,0.8845573493342777,0.8353963742590741,1.0,0.7265777054507532,0.8776567986150627,0.44760322458036783,0.5670302382164634,0.9109284410159421,0.6226311814993366,0.018140690150677156,0.0,0.50623592955887,0.6781882894882033,0.4710874913944758,0.6346505301872554,0.5604228652505151,0.9036046139982646,0.8917854745693279,0.20109533394953172,0.7883541139217448,0.7594646292009408,0.6332640959614275,0.7240772603836002,0.8670539508239341,0.8429873464353884,0.8415403579762403,0.8385870383568262,0.7222313895255645,0.3725624622597334,0.660435966598574,0.7627347642386448,0.44250230344102626,-0.45742954782513234,0.08666036786657763,0.37010933011491687,0.8720317056937174,0.3493771626283926,0.7566868826027475,-0.42511377395155586,0.6465122065178089,0.7177417858089558,0.6952498714106095
AFL,0.701700742332327,0.18905791483023093,0.47598879502145847,-0.0898321288501617,0.38431173567332066,0.5806686153394485,0.22016996205095582,0.7411040911145219,0.7021499041092166,0.285846276212982,0.24219150691089258,0.0327544294553828,0.6830698610311385,0.5945618953808953,0.8211786203476585,0.6956615533672309,0.7265777054507532,1.0,0.5695751221743321,-0.04469977214440817,0.5098616615035324,0.756616577252323,0.6184379992540838,-0.31114754610057244,0.0,0.19717099901964516,0.6513170625281784,0.20083373437931074,0.33710568230507953,0.6335062956737447,0.7991633856647561,0.7938815818931568,0.11658399519686088,0.365888814483634,0.32672380547686536,0.5552598578058638,0.41623880917036904,0.7355188140124738,0.43083693219948127,0.7801060747292108,0.7753232045256879,0.6365809416296397,0.3901495689377253,0.4776214566917498,0.6383290302214932,0.3674557458080386,-0.5815154733648957,0.16336863255987125,0.43795379808477064,0.9311668829442108,0.08001721293657016,0.49698422723791424,-0.4255730660479873,0.49793612122789505,0.6112631199162876,0.6774648855719653
