tickers,KMB,EL,CHD,COST,K,TAP,PEP,MDLZ,TGT,HSY,KO,STZ,NWL,DG,MO,PM,CAG,TSN,CL,CLX,DLTR,MKC,ADM,WMT,MNST,CPB,GIS,HRL,PG,SYY,SJM,KR
KMB,1.0,0.5654135338345864,0.6631578947368421,0.3639097744360902,0.5172932330827067,0.23609022556390977,0.6977443609022556,0.5097744360902255,0.38947368421052625,0.6360902255639098,0.5142857142857143,0.4977443609022556,0.39037234802777715,0.24962406015037594,0.5593984962406015,0.5067669172932331,0.32481203007518794,0.5007518796992482,0.7278195488721804,0.613533834586466,0.3969924812030075,0.13533834586466165,0.6932330827067669,0.3804511278195489,0.30075187969924805,0.6060150375939849,0.5639097744360902,0.6300751879699248,0.6571428571428571,0.44302372444770866,0.5624060150375939,0.4421052631578947
EL,0.5654135338345864,1.0,0.43458646616541347,0.30977443609022554,0.47067669172932325,-0.045112781954887216,0.5578947368421052,0.37744360902255636,0.12932330827067667,0.5714285714285714,0.5187969924812029,0.7654135338345864,0.4016547858320482,-0.05714285714285714,0.512781954887218,0.46917293233082696,0.47518796992481205,0.5323308270676691,0.5067669172932331,0.5609022556390978,0.1518796992481203,0.26917293233082706,0.7729323308270677,0.2902255639097744,0.13984962406015036,0.3233082706766917,0.5187969924812029,0.41503759398496237,0.7864661654135338,0.5460699897267173,0.41353383458646614,0.6421052631578947
CHD,0.6631578947368421,0.43458646616541347,1.0,0.5909774436090225,0.5157894736842105,0.16541353383458643,0.5428571428571428,0.34736842105263155,0.44360902255639095,0.35939849624060144,0.5293233082706766,0.4827067669172932,0.25648741941709446,-0.010526315789473682,0.6030075187969924,0.5097744360902255,0.4796992481203006,0.45112781954887216,0.7729323308270677,0.5849624060150376,0.44060150375939844,0.23308270676691725,0.5187969924812029,0.4496240601503759,0.24661654135338343,0.35037593984962395,0.5052631578947367,0.5022556390977443,0.5804511278195488,0.23392254380855243,0.2706766917293233,0.38796992481203
COST,0.3639097744360902,0.30977443609022554,0.5909774436090225,1.0,0.4270676691729323,-0.156390977443609,0.13834586466165413,0.26917293233082706,0.47067669172932325,0.019548872180451125,0.18646616541353384,0.44360902255639095,0.3775855851829367,0.19849624060150375,0.26165413533834586,0.2721804511278195,0.4796992481203006,0.3218045112781954,0.4781954887218045,0.23909774436090225,0.4947368421052631,0.37744360902255636,0.28872180451127816,0.37744360902255636,-0.12932330827067667,0.3218045112781954,0.3954887218045112,0.4872180451127819,0.22406015037593985,0.2594960694982334,0.21353383458646616,0.14285714285714285
K,0.5172932330827067,0.47067669172932325,0.5157894736842105,0.4270676691729323,1.0,-0.33383458646616543,0.7157894736842104,0.7428571428571428,0.5578947368421052,0.5593984962406015,0.7082706766917292,0.30225563909774433,0.484392663063369,-0.003007518796992481,0.41503759398496237,0.4601503759398496,0.49022556390977434,0.7022556390977444,0.6781954887218045,0.4586466165413533,0.018045112781954885,0.12781954887218044,0.6060150375939849,0.28421052631578947,0.3759398496240601,0.4992481203007519,0.7999999999999999,0.7744360902255639,0.7037593984962407,0.7138022317502131,0.30075187969924805,0.35488721804511275
TAP,0.23609022556390977,-0.045112781954887216,0.16541353383458643,-0.156390977443609,-0.33383458646616543,1.0,0.05263157894736842,-0.23308270676691725,-0.1744360902255639,-0.04962406015037594,-0.18796992481203004,0.08120300751879699,-0.014291087885409955,0.10225563909774435,0.24360902255639094,0.15488721804511277,-0.11879699248120301,-0.08571428571428572,-0.15939849624060148,-0.03157894736842105,0.10375939849624059,-0.06917293233082707,0.18045112781954886,0.14285714285714285,0.07368421052631578,0.02706766917293233,-0.4240601503759398,-0.26165413533834586,-0.015037593984962403,-0.1872884675508989,-0.04360902255639097,0.19548872180451127
PEP,0.6977443609022556,0.5578947368421052,0.5428571428571428,0.13834586466165413,0.7157894736842104,0.05263157894736842,1.0,0.6812030075187969,0.43909774436090226,0.5548872180451127,0.8526315789473683,0.42255639097744363,0.5295224142804531,-0.025563909774436087,0.6526315789473683,0.7142857142857143,0.4421052631578947,0.5203007518796992,0.6812030075187969,0.544360902255639,0.10375939849624059,0.05263157894736842,0.7157894736842104,0.48872180451127817,0.49323308270676686,0.46917293233082696,0.5097744360902255,0.5458646616541353,0.7954887218045112,0.6017300162277875,0.2571428571428572,0.41503759398496237
MDLZ,0.5097744360902255,0.37744360902255636,0.34736842105263155,0.26917293233082706,0.7428571428571428,-0.23308270676691725,0.6812030075187969,1.0,0.4240601503759398,0.45112781954887216,0.5518796992481202,0.3488721804511278,0.6032343412683571,0.23609022556390977,0.47067669172932325,0.4270676691729323,0.38947368421052625,0.31729323308270674,0.6947368421052631,0.2150375939849624,0.016541353383458645,0.14436090225563908,0.4676691729323308,0.3639097744360902,0.40751879699248117,0.3654135338345864,0.5684210526315789,0.6902255639097743,0.4977443609022556,0.42572398648115967,0.2571428571428572,0.42255639097744363
TGT,0.38947368421052625,0.12932330827067667,0.44360902255639095,0.47067669172932325,0.5578947368421052,-0.1744360902255639,0.43909774436090226,0.4240601503759398,1.0,0.19248120300751878,0.3639097744360902,0.10375939849624059,0.5776608155786761,0.38947368421052625,0.17744360902255638,0.44360902255639095,0.060150375939849614,0.18796992481203004,0.38496240601503756,0.2300751879699248,0.3924812030075188,0.27669172932330827,0.19548872180451127,0.30977443609022554,0.11879699248120301,0.44060150375939844,0.33533834586466166,0.6075187969924812,0.1533834586466165,0.22188794348399668,0.10676691729323308,0.14586466165413534
HSY,0.6360902255639098,0.5714285714285714,0.35939849624060144,0.019548872180451125,0.5593984962406015,-0.04962406015037594,0.5548872180451127,0.45112781954887216,0.19248120300751878,1.0,0.5804511278195488,0.3218045112781954,0.2670176947010807,0.11127819548872178,0.3413533834586466,0.16842105263157892,0.30977443609022554,0.5413533834586466,0.5413533834586466,0.5142857142857143,0.20601503759398496,0.1518796992481203,0.41654135338345866,0.048120300751879695,0.37744360902255636,0.5714285714285714,0.7338345864661654,0.6496240601503759,0.6887218045112782,0.583678115740954,0.4421052631578947,0.3203007518796992
KO,0.5142857142857143,0.5187969924812029,0.5293233082706766,0.18646616541353384,0.7082706766917292,-0.18796992481203004,0.8526315789473683,0.5518796992481202,0.3639097744360902,0.5804511278195488,1.0,0.27518796992481204,0.41669803623774293,-0.060150375939849614,0.47518796992481205,0.6390977443609022,0.5187969924812029,0.5082706766917292,0.631578947368421,0.49624060150375937,0.14436090225563908,0.02857142857142857,0.524812030075188,0.24360902255639094,0.43909774436090226,0.45112781954887216,0.5714285714285714,0.6210526315789473,0.7533834586466165,0.620534079234906,0.1639097744360902,0.27669172932330827
STZ,0.4977443609022556,0.7654135338345864,0.4827067669172932,0.44360902255639095,0.30225563909774433,0.08120300751879699,0.42255639097744363,0.3488721804511278,0.10375939849624059,0.3218045112781954,0.27518796992481204,1.0,0.4332456116840071,-0.06917293233082707,0.5037593984962406,0.27669172932330827,0.38496240601503756,0.21954887218045113,0.5593984962406015,0.4646616541353384,0.3157894736842105,0.23157894736842105,0.6240601503759398,0.5954887218045113,0.06917293233082707,0.23759398496240602,0.3669172932330827,0.26165413533834586,0.6165413533834586,0.4114328985957497,0.1639097744360902,0.5714285714285714
NWL,0.39037234802777715,0.4016547858320483,0.25648741941709446,0.3775855851829367,0.484392663063369,-0.014291087885409956,0.5295224142804531,0.6032343412683571,0.5776608155786761,0.2670176947010807,0.4166980362377429,0.4332456116840071,0.9999999999999999,0.5543437774498494,0.569387027855544,0.5746521654975372,0.4911621257459316,0.22113578096371195,0.2993606830733243,0.16472359194235683,0.34524259681069314,0.3392252966484153,0.4430237244477086,0.5340353894021614,0.19029711763203785,0.40842424851461084,0.32117339616158164,0.4911621257459316,0.3663031473786657,0.573739653875094,0.12711546592812012,0.3377209716078458
DG,0.24962406015037594,-0.05714285714285714,-0.010526315789473682,0.19849624060150375,-0.003007518796992481,0.10225563909774435,-0.025563909774436087,0.23609022556390977,0.38947368421052625,0.11127819548872178,-0.060150375939849614,-0.06917293233082707,0.5543437774498493,1.0,0.12932330827067667,0.23759398496240602,0.19999999999999998,-0.19097744360902258,0.03609022556390977,-0.021052631578947364,0.4285714285714286,0.4466165413533834,-0.010526315789473682,0.022556390977443608,0.010526315789473682,0.156390977443609,0.08421052631578946,0.23759398496240602,-0.11127819548872178,0.026325688209965708,0.13383458646616542,-0.018045112781954885
MO,0.5593984962406015,0.512781954887218,0.6030075187969924,0.26165413533834586,0.41503759398496237,0.24360902255639094,0.6526315789473683,0.47067669172932325,0.17744360902255638,0.3413533834586466,0.47518796992481205,0.5037593984962406,0.569387027855544,0.12932330827067667,1.0,0.6526315789473683,0.7503759398496239,0.43458646616541347,0.5067669172932331,0.4947368421052631,0.22255639097744356,0.2992481203007519,0.6045112781954887,0.5849624060150376,0.44360902255639095,0.2045112781954887,0.31879699248120297,0.29172932330827067,0.675187969924812,0.4746145502996675,0.4872180451127819,0.5954887218045113
PM,0.5067669172932331,0.46917293233082696,0.5097744360902255,0.2721804511278195,0.4601503759398496,0.15488721804511277,0.7142857142857143,0.4270676691729323,0.44360902255639095,0.16842105263157892,0.6390977443609022,0.27669172932330827,0.5746521654975372,0.23759398496240602,0.6526315789473683,1.0,0.5037593984962406,0.4616541353383458,0.3804511278195489,0.24661654135338343,0.3684210526315789,0.43458646616541347,0.6902255639097743,0.3203007518796992,0.18345864661654135,0.16842105263157892,0.21353383458646616,0.3413533834586466,0.5684210526315789,0.39187667306834667,0.19548872180451127,0.45714285714285713
CAG,0.32481203007518794,0.47518796992481205,0.4796992481203006,0.4796992481203006,0.49022556390977434,-0.11879699248120301,0.4421052631578947,0.38947368421052625,0.060150375939849614,0.30977443609022554,0.5187969924812029,0.38496240601503756,0.49116212574593154,0.19999999999999998,0.7503759398496239,0.5037593984962406,1.0,0.4616541353383458,0.4781954887218045,0.4451127819548871,0.22406015037593985,0.42105263157894735,0.5022556390977443,0.35488721804511275,0.3203007518796992,0.10075187969924812,0.5097744360902255,0.29323308270676685,0.6676691729323309,0.6077473163900655,0.3684210526315789,0.26766917293233083
TSN,0.5007518796992482,0.5323308270676691,0.45112781954887216,0.3218045112781954,0.7022556390977444,-0.08571428571428572,0.5203007518796992,0.31729323308270674,0.18796992481203004,0.5413533834586466,0.5082706766917292,0.21954887218045113,0.22113578096371195,-0.19097744360902258,0.43458646616541347,0.4616541353383458,0.4616541353383458,1.0,0.3443609022556391,0.4060150375939849,0.11729323308270674,0.21654135338345865,0.6556390977443608,0.060150375939849614,0.12932330827067667,0.3759398496240601,0.631578947368421,0.5203007518796992,0.6556390977443608,0.654381392647719,0.4541353383458646,0.31879699248120297
CL,0.7278195488721804,0.5067669172932331,0.7729323308270677,0.4781954887218045,0.6781954887218045,-0.15939849624060148,0.6812030075187969,0.6947368421052631,0.38496240601503756,0.5413533834586466,0.631578947368421,0.5593984962406015,0.29936068307332436,0.03609022556390977,0.5067669172932331,0.3804511278195489,0.4781954887218045,0.3443609022556391,1.0,0.6150375939849623,0.23458646616541348,0.156390977443609,0.5428571428571428,0.5187969924812029,0.3293233082706767,0.45563909774436084,0.7548872180451127,0.6165413533834586,0.6902255639097743,0.35426854705410993,0.29323308270676685,0.33233082706766914
CLX,0.613533834586466,0.5609022556390978,0.5849624060150376,0.23909774436090225,0.4586466165413533,-0.03157894736842105,0.544360902255639,0.2150375939849624,0.2300751879699248,0.5142857142857143,0.49624060150375937,0.4646616541353384,0.16472359194235686,-0.021052631578947364,0.4947368421052631,0.24661654135338343,0.4451127819548871,0.4060150375939849,0.6150375939849623,1.0,-0.003007518796992481,-0.09473684210526315,0.48872180451127817,0.34586466165413526,0.49022556390977434,0.45112781954887216,0.5849624060150376,0.38796992481203,0.6857142857142857,0.42045884883916657,0.32631578947368417,0.33082706766917286
DLTR,0.3969924812030075,0.1518796992481203,0.44060150375939844,0.4947368421052631,0.018045112781954885,0.10375939849624059,0.10375939849624059,0.016541353383458645,0.3924812030075188,0.20601503759398496,0.14436090225563908,0.3157894736842105,0.3452425968106931,0.4285714285714286,0.22255639097744356,0.3684210526315789,0.22406015037593985,0.11729323308270674,0.23458646616541348,-0.003007518796992481,1.0,0.669172932330827,0.14285714285714285,0.12481203007518797,-0.21052631578947367,0.08721804511278194,0.13834586466165413,0.27368421052631575,0.13533834586466165,0.12561114088755065,0.1819548872180451,0.05864661654135337
MKC,0.13533834586466165,0.26917293233082706,0.23308270676691725,0.37744360902255636,0.12781954887218044,-0.06917293233082707,0.05263157894736842,0.14436090225563908,0.27669172932330827,0.1518796992481203,0.02857142857142857,0.23157894736842105,0.3392252966484153,0.4466165413533834,0.2992481203007519,0.43458646616541347,0.42105263157894735,0.21654135338345865,0.156390977443609,-0.09473684210526315,0.669172932330827,1.0,0.24060150375939846,0.09624060150375939,-0.3278195488721804,-0.2150375939849624,0.22857142857142856,0.05864661654135337,0.19999999999999998,0.08273787723132078,0.24511278195488717,0.11278195488721804
ADM,0.6932330827067669,0.7729323308270677,0.5187969924812029,0.28872180451127816,0.6060150375939849,0.18045112781954886,0.7157894736842104,0.4676691729323308,0.19548872180451127,0.41654135338345866,0.524812030075188,0.6240601503759398,0.44302372444770866,-0.010526315789473682,0.6045112781954887,0.6902255639097743,0.5022556390977443,0.6556390977443608,0.5428571428571428,0.48872180451127817,0.14285714285714285,0.24060150375939846,1.0,0.35488721804511275,0.22857142857142856,0.2571428571428572,0.49323308270676686,0.35488721804511275,0.8345864661654135,0.6333208420797465,0.34736842105263155,0.5669172932330826
WMT,0.3804511278195489,0.2902255639097744,0.4496240601503759,0.37744360902255636,0.28421052631578947,0.14285714285714285,0.48872180451127817,0.3639097744360902,0.30977443609022554,0.048120300751879695,0.24360902255639094,0.5954887218045113,0.5340353894021614,0.022556390977443608,0.5849624060150376,0.3203007518796992,0.35488721804511275,0.060150375939849614,0.5187969924812029,0.34586466165413526,0.12481203007518797,0.09624060150375939,0.35488721804511275,1.0,-0.016541353383458645,0.4030075187969925,0.28120300751879695,0.09473684210526315,0.32481203007518794,0.2264009186057051,-0.003007518796992481,0.15037593984962402
MNST,0.30075187969924805,0.13984962406015036,0.24661654135338343,-0.12932330827067667,0.3759398496240601,0.07368421052631578,0.49323308270676686,0.40751879699248117,0.11879699248120301,0.37744360902255636,0.43909774436090226,0.06917293233082707,0.19029711763203783,0.010526315789473682,0.44360902255639095,0.18345864661654135,0.3203007518796992,0.12932330827067667,0.3293233082706767,0.49022556390977434,-0.21052631578947367,-0.3278195488721804,0.22857142857142856,-0.016541353383458645,1.0,0.21654135338345865,0.18045112781954886,0.41654135338345866,0.4812030075187969,0.413689386156604,0.17293233082706763,0.45112781954887216
CPB,0.6060150375939849,0.3233082706766917,0.35037593984962395,0.3218045112781954,0.4992481203007519,0.02706766917293233,0.46917293233082696,0.3654135338345864,0.44060150375939844,0.5714285714285714,0.45112781954887216,0.23759398496240602,0.40842424851461084,0.156390977443609,0.2045112781954887,0.16842105263157892,0.10075187969924812,0.3759398496240601,0.45563909774436084,0.45112781954887216,0.08721804511278194,-0.2150375939849624,0.2571428571428572,0.4030075187969925,0.21654135338345865,1.0,0.5593984962406015,0.7037593984962407,0.3383458646616541,0.46182778745482694,0.12781954887218044,0.1609022556390977
GIS,0.5639097744360902,0.5187969924812029,0.5052631578947367,0.3954887218045112,0.7999999999999999,-0.4240601503759398,0.5097744360902255,0.5684210526315789,0.33533834586466166,0.7338345864661654,0.5714285714285714,0.3669172932330827,0.32117339616158164,0.08421052631578946,0.31879699248120297,0.21353383458646616,0.5097744360902255,0.631578947368421,0.7548872180451127,0.5849624060150376,0.13834586466165413,0.22857142857142856,0.49323308270676686,0.28120300751879695,0.18045112781954886,0.5593984962406015,1.0,0.6676691729323309,0.6796992481203006,0.6197819167146212,0.31729323308270674,0.1413533834586466
HRL,0.6300751879699248,0.41503759398496237,0.5022556390977443,0.4872180451127819,0.7744360902255639,-0.26165413533834586,0.5458646616541353,0.6902255639097743,0.6075187969924812,0.6496240601503759,0.6210526315789473,0.26165413533834586,0.49116212574593154,0.23759398496240602,0.29172932330827067,0.3413533834586466,0.29323308270676685,0.5203007518796992,0.6165413533834586,0.38796992481203,0.27368421052631575,0.05864661654135337,0.35488721804511275,0.09473684210526315,0.41654135338345866,0.7037593984962407,0.6676691729323309,1.0,0.4857142857142857,0.555095939970134,0.3669172932330827,0.4330827067669173
PG,0.6571428571428571,0.7864661654135338,0.5804511278195488,0.22406015037593985,0.7037593984962407,-0.015037593984962403,0.7954887218045112,0.4977443609022556,0.1533834586466165,0.6887218045112782,0.7533834586466165,0.6165413533834586,0.3663031473786657,-0.11127819548872178,0.675187969924812,0.5684210526315789,0.6676691729323309,0.6556390977443608,0.6902255639097743,0.6857142857142857,0.13533834586466165,0.19999999999999998,0.8345864661654135,0.32481203007518794,0.4812030075187969,0.3383458646616541,0.6796992481203006,0.4857142857142857,1.0,0.761940633048436,0.3954887218045112,0.5548872180451127
SYY,0.4430237244477086,0.5460699897267173,0.23392254380855243,0.2594960694982334,0.7138022317502131,-0.18728846755089887,0.6017300162277875,0.4257239864811597,0.22188794348399665,0.583678115740954,0.6205340792349059,0.4114328985957497,0.573739653875094,0.026325688209965708,0.4746145502996674,0.39187667306834667,0.6077473163900655,0.6543813926477189,0.3542685470541099,0.42045884883916657,0.12561114088755065,0.08273787723132078,0.6333208420797465,0.22640091860570508,0.413689386156604,0.46182778745482694,0.6197819167146212,0.5550959399701341,0.7619406330484361,0.9999999999999999,0.30462582071531746,0.3317036714455679
SJM,0.5624060150375939,0.41353383458646614,0.2706766917293233,0.21353383458646616,0.30075187969924805,-0.04360902255639097,0.2571428571428572,0.2571428571428572,0.10676691729323308,0.4421052631578947,0.1639097744360902,0.1639097744360902,0.12711546592812012,0.13383458646616542,0.4872180451127819,0.19548872180451127,0.3684210526315789,0.4541353383458646,0.29323308270676685,0.32631578947368417,0.1819548872180451,0.24511278195488717,0.34736842105263155,-0.003007518796992481,0.17293233082706763,0.12781954887218044,0.31729323308270674,0.3669172932330827,0.3954887218045112,0.30462582071531746,1.0,0.4195488721804511
KR,0.4421052631578947,0.6421052631578947,0.38796992481203,0.14285714285714285,0.35488721804511275,0.19548872180451127,0.41503759398496237,0.42255639097744363,0.14586466165413534,0.3203007518796992,0.27669172932330827,0.5714285714285714,0.3377209716078458,-0.018045112781954885,0.5954887218045113,0.45714285714285713,0.26766917293233083,0.31879699248120297,0.33233082706766914,0.33082706766917286,0.05864661654135337,0.11278195488721804,0.5669172932330826,0.15037593984962402,0.45112781954887216,0.1609022556390977,0.1413533834586466,0.4330827067669173,0.5548872180451127,0.3317036714455679,0.4195488721804511,1.0
