tickers,ORCL,MSFT,FISV,CDNS,IBM,AAPL,AMAT,TXN,GLW,MSI,HPQ,XRX,SWKS,KLAC,LRCX,MU,INTC,AMD,ADBE,CSCO,XLNX,QCOM,SNPS,INTU,MCHP,FLIR,IT,NTAP,CTXS,ANSS,APH,ADSK,VRSN,CTSH,NVDA,FFIV,JNPR,AKAM,FIS,CRM
ORCL,1.0,-0.08956953369051333,0.8065279070891329,0.9346642991167478,0.19503824166340053,0.4780277012363302,0.025029482935569215,-0.14771936339321218,-0.4293775363787566,0.5276691608965273,-0.6911962923034034,-0.43582987738414253,0.06859508686433247,0.019336076703800248,-0.5910825936673988,-0.1128619159561749,-0.5615992771372141,-0.6337324450730059,0.5716337709292056,0.15102247793243423,0.2426073290704899,0.4071977308090702,0.8923691907853513,0.7225637807942306,-0.15461575651543272,-0.336393533531891,0.81938347475523,-0.133652240514556,-0.1364086004415667,0.7519656525865241,0.8880944988751621,-0.11120064943807675,0.39305827536536986,0.1862785381393623,-0.1044012306094664,-0.4337360247052445,-0.0958547108752073,0.7289384083415079,0.26489277853029825,0.5696133069895393
MSFT,-0.08956953369051333,1.0,-0.32889428639072577,-0.047256692901573104,0.6964607186954551,0.33343311192280845,0.6901773782865063,0.40472700985318294,0.47198438122716335,-0.06340069256905381,0.5351750920830854,0.6715305471056872,0.6456574202703577,0.678540117907742,0.4038358520071496,0.5714566049597294,0.7719687951235509,0.7116464620455486,0.17903810064000003,0.43086480058766335,0.46985789763615454,0.4848107179197812,-0.058873654769553745,0.04671135573717553,0.6403492670383916,0.42459646806672113,-0.11496339118009731,0.6619434601664492,0.7511808347779544,0.02616539840473313,-0.07107101514209296,0.6410348720787337,0.16468302007998825,0.3263442103184693,0.6513820003661702,0.7183498909344357,0.4193629773434836,0.10112379182732971,-0.172797629552297,0.11568439437102372
FISV,0.8065279070891329,-0.32889428639072577,1.0,0.7780980873178877,0.08496231809704964,0.4632183780092521,-0.37929078652351644,-0.4260893724559477,-0.46728502357688095,0.6160151776963636,-0.8921007464957835,-0.658790720668094,-0.09152703136021059,-0.30676619431547086,-0.6406472095473497,-0.48829974147682736,-0.6632446185235529,-0.7605854123744642,0.5481631686808135,-0.13289002737204547,-0.08349817037723482,0.18964207636953903,0.7801674531080509,0.7092123304395648,-0.5553575128113488,-0.6618922403739113,0.8197303558738088,-0.49793403187212437,-0.180728607753193,0.7026047179804759,0.7783749772956398,-0.3173218729594968,0.4627076246749546,-0.005054514838592878,-0.5338042220747987,-0.6425010022649004,-0.4675407562345059,0.5418334710010703,0.6374371802640622,0.6240057309424767
CDNS,0.9346642991167478,-0.047256692901573104,0.7780980873178877,1.0,0.2524211055139413,0.4542365175495279,0.07778939651998582,-0.05002460572811383,-0.3501070168549197,0.6250066482659697,-0.6702894460389783,-0.40322916994970853,0.03434722210399681,0.0416471780046029,-0.510438235406152,-0.09292565637202596,-0.537764139312343,-0.5975208295211831,0.6488580559409125,0.24945027895148836,0.3387621543186428,0.5145520655215163,0.9395741365251778,0.731347765679782,-0.12288518793705816,-0.2799818360563352,0.7811206775465426,-0.05382719102817401,-0.15670288290525716,0.8507351351807725,0.9040364213850659,-0.05839123284068629,0.3679611055927008,0.27839548249959367,-0.09095487604852254,-0.3628934226854829,-0.014331283264188263,0.8336917137677297,0.27973416070981655,0.6277014726191189
IBM,0.1950382416634005,0.6964607186954551,0.08496231809704963,0.2524211055139413,1.0,0.5917364968980906,0.38526082798990896,0.12975196916189263,0.36606808049078254,0.2876991605360542,0.09422695202682925,0.2685302065415149,0.4992169096072238,0.45740660596500976,0.051304614295214074,0.22648279384473904,0.4301409626554517,0.3368447468799407,0.3856967748089298,0.290373611185555,0.3203001051281611,0.5917823542728835,0.24793424611043707,0.35342449026352335,0.29958899364772684,0.201723216968884,0.23549791396230546,0.40068810549858774,0.5936275970546707,0.4120650804000766,0.2377745166804438,0.4773361586174618,0.42570394322680244,0.3729300013680607,0.28733314427854634,0.5288600686201401,0.16795653285565468,0.347006517992272,-0.03673028164646914,0.5197900474365083
AAPL,0.47802770123633026,0.33343311192280845,0.4632183780092521,0.4542365175495279,0.5917364968980905,0.9999999999999998,-0.0467296233646061,-0.44942077945525377,-0.18485029558876745,0.06449910871596538,-0.40710645181888777,-0.19280215791098498,0.5972277743309302,0.23235900907006546,-0.5430775029329532,-0.25469757391106723,-0.05117227393580486,-0.19268527867988028,0.17280925002637088,-0.17672903990610572,-0.16800206137393617,0.26709342713556367,0.5437752608563288,0.4320103836893713,-0.09544767257327604,-0.4440437933720578,0.7047967617457641,-0.16347070294108712,0.4564947292114772,0.5301105347418462,0.45151032349119974,-0.1335743364694518,0.8314468282967766,-0.1328683265114261,-0.01166316897118402,-0.11875144002602417,-0.3754739174345245,0.2762382248722868,0.09882957150258409,0.3918811838225681
AMAT,0.025029482935569215,0.6901773782865062,-0.37929078652351644,0.0777893965199858,0.38526082798990896,-0.0467296233646061,0.9999999999999998,0.7630010789781428,0.5637759074534024,-0.04267371623294151,0.6268175034324809,0.7596669224377469,0.26385477284367526,0.7462044744544369,0.5750164648078053,0.8685532532239562,0.5997474699695209,0.6146661436609901,0.24823745232519265,0.8056011794230324,0.821269800314845,0.5049009133014023,-0.02220273956672892,0.14146345304372154,0.9175095851961114,0.717821765112955,-0.2676469724605643,0.8141143912207989,0.2883046678483075,0.061886965488188034,0.03716113141954824,0.751667398996341,-0.23224088783543317,0.6663984318230428,0.8559606810825076,0.6963676536690089,0.8180056055802586,0.3342460777495624,-0.3794763077915356,0.042123772698062834
TXN,-0.14771936339321218,0.4047270098531829,-0.4260893724559477,-0.050024605728113826,0.12975196916189263,-0.44942077945525377,0.7630010789781428,1.0,0.566412715373031,0.19098060118096274,0.6067709628411587,0.6242672559012227,-0.10495258429663652,0.503548935802625,0.7956798769706546,0.8159836562609674,0.49376220078987204,0.5888693809635158,0.3741948453590501,0.8449415826046205,0.835487583509461,0.5538744200054736,-0.15193008003625555,0.01781115373042974,0.6892300579234745,0.8260563022002879,-0.45453822815026124,0.8218462376331381,-0.026373476989513332,-0.1124520778176882,-0.03329264091987989,0.7491591603844008,-0.6457828998121705,0.7452055846752875,0.5788422598011319,0.6815379068060489,0.9104505983198927,0.21893913764187414,-0.1231053194885665,0.13731895627381663
GLW,-0.4293775363787566,0.47198438122716335,-0.467285023576881,-0.3501070168549197,0.36606808049078254,-0.18485029558876745,0.5637759074534023,0.5664127153730311,0.9999999999999998,0.008631597785252626,0.6932512664642416,0.7873571573481615,-0.06422116115576537,0.30013231310346794,0.6517784678076529,0.5688295988186431,0.5970105350340303,0.6981935692360418,0.07746247516487208,0.57130711095801,0.4681293053750019,0.26857449965865904,-0.35422599792858844,-0.10715192962017218,0.5787045278224716,0.652321485156207,-0.5764109753055752,0.6241439800854802,0.2904628148711632,-0.18306101742807582,-0.38906338210288594,0.5651417818973453,-0.3386961997019292,0.5888245215490551,0.42701919409608097,0.8057833944949757,0.5891674910658313,0.008858892879843887,-0.21942966820108423,0.06141480860837519
MSI,0.5276691608965273,-0.06340069256905381,0.6160151776963636,0.6250066482659699,0.28769916053605415,0.06449910871596538,-0.0426737162329415,0.19098060118096274,0.008631597785252626,1.0,-0.4853678959541052,-0.26656674319922524,-0.2643787273167691,-0.20022633665756479,-0.0658831548492299,-0.08404818685926356,-0.3189024447624925,-0.32513409808785765,0.8133823308898541,0.32652357064396764,0.4076189137627832,0.6025234170402206,0.5760161640096693,0.5634359043592692,-0.26377544780377216,-0.0506035269823532,0.35802416512355884,0.04539511100168406,-0.21782362619888243,0.6157673717936808,0.6102362673476746,0.16044519992674383,-0.046358353401670285,0.465336772807149,-0.3367819119933051,-0.08702742183481448,0.09308020610861889,0.5989355566177723,0.5705230904674594,0.7623797735971706
HPQ,-0.6911962923034034,0.5351750920830856,-0.8921007464957834,-0.6702894460389783,0.09422695202682925,-0.40710645181888777,0.626817503432481,0.6067709628411587,0.6932512664642416,-0.4853678959541051,1.0,0.8552054841364899,0.14812289598999423,0.47514150762259516,0.7766623580799049,0.711362459597263,0.8176111605874646,0.8980677810134019,-0.30862278185697334,0.40110941720818344,0.35279876456190895,0.012571125752544335,-0.6929714898877137,-0.49731287058699997,0.7487996789685455,0.7845403869958036,-0.8006799665989386,0.6744070084733191,0.316608636448154,-0.5940956207152158,-0.6660291459790356,0.5821628407175162,-0.471343142874092,0.27831863283752106,0.6800769561025773,0.8105765603028118,0.6462647756270147,-0.35437004399033034,-0.5247138477136284,-0.4412573043200738
XRX,-0.43582987738414253,0.6715305471056872,-0.658790720668094,-0.40322916994970853,0.2685302065415149,-0.19280215791098496,0.7596669224377469,0.6242672559012227,0.7873571573481615,-0.26656674319922524,0.8552054841364899,0.9999999999999998,0.21253137246371356,0.49936444063974805,0.6684022622192838,0.7942643643874512,0.7339516908492175,0.8234882534262848,-0.08613806334512555,0.588108214787053,0.5216645378244494,0.2260195972709985,-0.4351953638568171,-0.25387060760801916,0.8059651717537252,0.73422322579988,-0.5975685511149319,0.7592174688693905,0.4208387307683811,-0.32785459344060985,-0.4661312732223885,0.5947942924574887,-0.354338313781616,0.44434739365738385,0.7417231237096014,0.8107804061801084,0.6597059240334643,-0.07574666311951851,-0.389943588438377,-0.19483797152793642
SWKS,0.06859508686433247,0.6456574202703576,-0.09152703136021059,0.03434722210399681,0.49921690960722387,0.5972277743309302,0.26385477284367526,-0.10495258429663652,-0.06422116115576537,-0.2643787273167691,0.14812289598999423,0.21253137246371356,1.0,0.5470279706525322,-0.04090328102942376,0.17378398030149392,0.4766810766540441,0.36020510868768524,-0.01383302334095726,-0.057318636626217646,0.0014590503942031087,0.2217543288352477,0.06772649196368466,0.058626169775503355,0.2327416828750334,-0.008298495461194027,0.2445705872623666,0.20731785523654528,0.7514369126467801,0.04096454617529757,0.0835120577030084,0.21907217731990508,0.4406083171873243,-0.20568070914023723,0.32277608237743055,0.21764098471969567,-0.05904357960916406,-0.10161080418121034,-0.08325086662532082,0.014440411725254563
KLAC,0.019336076703800244,0.6785401179077419,-0.30676619431547086,0.0416471780046029,0.45740660596500976,0.23235900907006546,0.7462044744544368,0.503548935802625,0.30013231310346794,-0.2002263366575648,0.47514150762259516,0.49936444063974805,0.5470279706525322,1.0,0.4228444200727639,0.636099920863953,0.6623073753534269,0.5520945317312828,0.1440852658712896,0.4991056308341361,0.47831110833558615,0.4359210130939636,-0.0444983770637958,0.1533839206214019,0.7583496377834296,0.46882721052146814,-0.039785361421627176,0.654437003417796,0.5051449577842632,0.016653347930822654,0.1428690197394844,0.6574438491876613,0.057712700849361157,0.36402536455046774,0.6788584847215547,0.5470887818593929,0.5616769527827609,0.1656413918291,-0.2693597903243479,0.043530402506272325
LRCX,-0.5910825936673987,0.4038358520071496,-0.6406472095473495,-0.510438235406152,0.051304614295214074,-0.5430775029329533,0.5750164648078052,0.7956798769706546,0.6517784678076528,-0.0658831548492299,0.7766623580799049,0.6684022622192838,-0.04090328102942376,0.4228444200727639,1.0,0.6538940454462357,0.7340751777532758,0.8031593109679842,0.10244050517525201,0.5540526529638716,0.5207493908229394,0.20373145547730892,-0.5787645476720071,-0.2140174541431064,0.5786873530461594,0.7486655576615422,-0.7569037754118093,0.6456999183027271,0.13285255394848733,-0.4522465125227715,-0.42952220930068186,0.7042757492497943,-0.6740162962293187,0.5032565841147262,0.4470471292435553,0.710239143171255,0.683369670531042,-0.22923366436915135,-0.07929887674657299,-0.12682629363701672
MU,-0.1128619159561749,0.5714566049597294,-0.48829974147682725,-0.09292565637202596,0.22648279384473907,-0.25469757391106723,0.8685532532239562,0.8159836562609674,0.5688295988186433,-0.08404818685926357,0.711362459597263,0.7942643643874511,0.1737839803014939,0.636099920863953,0.6538940454462356,0.9999999999999998,0.610739668793496,0.6891164172332422,0.17199023287455195,0.7588227715685695,0.75749885475886,0.45566689091799156,-0.19164199005953075,-0.010490876718916659,0.8540605856471106,0.8193415083222978,-0.41438467038832044,0.8588623492688796,0.20085789530797118,-0.21131543213416348,-0.12776843549493513,0.7503653449075206,-0.49109787793932486,0.6227824221092045,0.8219200493035932,0.7000198154773684,0.8572114323838338,0.17866122030244205,-0.31433694277496405,-0.03586559504221541
INTC,-0.5615992771372141,0.7719687951235509,-0.6632446185235529,-0.537764139312343,0.43014096265545176,-0.05117227393580486,0.5997474699695209,0.49376220078987204,0.5970105350340303,-0.31890244476249247,0.8176111605874647,0.7339516908492176,0.476681076654044,0.6623073753534268,0.7340751777532758,0.6107396687934961,1.0,0.9390659972423607,-0.07917681579279033,0.3346322650542592,0.32030243316404067,0.2107516794232977,-0.567654308252156,-0.2517496629350134,0.6564417177916048,0.5910772539246114,-0.5327717939262483,0.6338210709076539,0.6112645232786107,-0.43265143270761997,-0.45537839204292363,0.7255393042399094,-0.16725705193450474,0.24490150148197704,0.5900904178901464,0.8044541675839605,0.4706437817573582,-0.3163047458208889,-0.23951568881418894,-0.182193952319621
AMD,-0.6337324450730057,0.7116464620455486,-0.7605854123744642,-0.5975208295211831,0.3368447468799407,-0.19268527867988028,0.6146661436609901,0.5888693809635158,0.6981935692360418,-0.3251340980878577,0.898067781013402,0.8234882534262848,0.3602051086876852,0.5520945317312828,0.8031593109679842,0.6891164172332422,0.9390659972423607,1.0,-0.1147201004900267,0.4258052413408994,0.383359286348348,0.2121414426139056,-0.611179658157319,-0.3367168978731259,0.6764584409907637,0.7195381981339115,-0.6819567931564144,0.7207805124953303,0.5262682831012215,-0.5182566431057026,-0.5655307043698916,0.7141590998908093,-0.3568528721990968,0.33789405150203283,0.6120830118810122,0.871473330811933,0.5700567844278636,-0.3174986761237801,-0.27996106073036675,-0.18584845107577572
ADBE,0.5716337709292055,0.17903810064000003,0.5481631686808134,0.6488580559409125,0.3856967748089298,0.17280925002637085,0.24823745232519265,0.37419484535905007,0.07746247516487208,0.8133823308898541,-0.30862278185697334,-0.08613806334512555,-0.01383302334095726,0.1440852658712896,0.10244050517525201,0.17199023287455195,-0.07917681579279033,-0.11472010049002669,0.9999999999999998,0.5273542084439308,0.5745954467932687,0.7367253659469094,0.5718257530430336,0.6790205332472005,-0.00040090857249357236,0.07590707937450761,0.36639365367386045,0.24851219934578575,-0.021279961967829303,0.591878893638414,0.6909269788678782,0.4193959278772336,-0.04804984471547863,0.5896957755539528,-0.055617307122056196,0.07077538379579171,0.28201310218171394,0.6718316217015359,0.5353092941438832,0.8017381046541153
